,job,place,limit,tags,salary,working time
55,助教老师,北京·西城区·陶然亭,经验不限学历不限,助教 助教老师 培训老师 档案 教学辅助工作,5.5,16.0
56,助教（语数英物化）,珠海·香洲区·前山,经验不限学历不限,助教 语数英 教师试讲 老师 ppt课件,7.0,13.0
57,英语助教,天津·北辰区·北仓,1年以内大专,助教 教师 英语 线下授课 教师资格证,6.5,17.0
58,助教（双休）,石家庄·长安区·中山东路,经验不限本科,文科 助教 班主任 语文 数学,13.0,12.0
59,外教助教（线上课程）,福州·台江区·台江万达,经验不限大专,外教 助教 英语外教课程 外教助教 线上课程,8.0,16.0
60,工业/产品设计作品集辅导,北京·朝阳区·广渠门,经验不限本科,交互体验设计 国外艺术 设计表现 作品集辅导,23.5,16.0
61,在线教育部-企鹅辅导B端产品策划经理,深圳·南山区·科技园,3-5年本科,产品迭代 在线教育产品 k12 设计方法 辅导,57.5,19.0
62,双休【猿辅导线上运营班主任】六险一金,西安·雁塔区·曲江新区,经验不限本科,教育培训 社群运营 用户运营 教育类 web前端,11.5,8.0
63,交互设计作品集辅导导师（深圳）,深圳·福田区·会展中心,经验不限硕士,交互体验设计 UI设计 国外艺术 设计表现,29.0,19.0
64,在线辅导老师,石家庄·桥西区·休门,在校/应届本科,社群运营 直播课程 课程报名 辅导老师,10.0,20.0
65,在线辅导老师（双休、六险一金）,沈阳·沈河区·五里河,经验不限本科,班主任 课程顾问 售后客服 全职 教育培训,10.5,17.0
66,辅导老师,西安·雁塔区·高新路,在校/应届本科,Python Java 前端 测试 运维,13.0,16.0
67,C++中小学生一对一在线编程辅导实习生,广州·天河区·时尚天河,经验不限本科,C++ 计算机软件 一对一 在线编程 辅导,5.5,19.0
68,英语辅导老师,成都·武侯区·桂溪,1-3年本科,辅导 教师 英语 班主任 维护家长,14.5,15.0
69,k12辅导主管/高级主管,武汉·洪山区·鲁巷,5-10年本科,教务行政 教育培训 助教 教研 团队管理,30.0,22.0
70,辅导老师（七险一金）,成都·双流区·华阳,经验不限本科,k12教育 学习方案 教育学或心理学 辅导老师,11.5,16.0
71,成人英语辅导老师（六险一金+补助）,北京·海淀区·上地,经验不限本科,班主任 助教 外语 成人教育 CET-6,19.0,19.0
72,辅导老师(实习),武汉·江夏区·金融港,5天/周1个月本科,教师 数学 语文 英语 直播课程,135.0,20.0
73,顺丰同城运营辅导,福州·台江区·中亭街,1-3年本科,运营专员 活动推广 数据分析 同城 运营辅导,9.5,15.0
74,班主任（保底6000/助教辅导）,上海·虹口区·临平路,经验不限大专,班主任 线上推广 教育培训 教育资源 老客户维护,22.0,20.0
75,考研数学辅导项目运营经理/主管,北京,1-3年硕士,运营经理 产品运营 社群运营 教育类,40.0,14.0
76,急聘考研英语辅导老师,昆明·五华区·小西门,1-3年硕士,考研 教师 英语 班级授课 讲课,25.0,16.0
77,在线辅导老师,济南·历城区·汉峪金谷,经验不限本科,辅导老师 教师 助教 班主任 英语,13.0,16.0
78,线上英语辅导班主任,长沙·开福区·马王堆,经验不限大专,CET-4 CET-6 英语 教师 小学教育,10.0,17.0
79,初中数学辅导老师主管,西安·雁塔区·枫林绿洲,3-5年本科,初中教育 数学辅导老师 主管 辅导老师 服务方案,21.0,28.0
80,小学语文辅导老师,西安·雁塔区·枫林绿洲,经验不限本科,小学教育 教师 线上授课 教育培训 语文,13.5,13.0
81,初中理化在线辅导老师,西安·雁塔区·枫林绿洲,1-3年本科,教师 助教 化学 物理 线上授课,11.0,15.0
82,数据运营（销售策略、社群策略、辅导业务）,北京·海淀区·中关村,1-3年本科,Python SQL 业务监测 数据测算 数据能力,35.0,22.0
83,企鹅辅导用户运营经理,深圳·南山区·科技园,3-5年本科,社群用户运营 用户留存 k12 辅导 用户运营经理,30.0,19.0
84,猿辅导－体验设计师,北京·朝阳区·望京,3-5年本科,交互体验设计 设计标准 理解产品 猿辅导,40.0,16.0
85,工业设计作品集辅导导师（上海）,上海·虹口区·四川北路,经验不限硕士,工业设计 公共艺术设计 3D设计 产品设计,22.0,22.0
86,插画作品集辅导,成都·锦江区·红星路,经验不限本科,设计表现 国外艺术 教研组 作品集辅导 创作,14.5,26.0
87,学而思语文老师（在线辅导）,武汉·洪山区·光谷,经验不限本科,文科 家教 小学教育 幼师 语文,12.0,25.0
88,辅导主管/高级主管,南昌·青山湖区·京东,5-10年本科,教务行政 校长 教研 助教 团队管理,30.0,16.0
