,身高,体重,性别,年龄,学历,受教育时间(年),每周工作时长,职业
91,154.4,67.59,女,37,本科,10,40,教育
92,155.63,77.26,女,28,本科,10,25,服务
93,149.68,68.9,女,30,高中,9,35,销售
94,148.9,42.09,男,34,硕士,13,40,销售
95,153.81,57.8,男,29,本科,10,50,服务
96,169.38,85.32,男,48,博士,16,60,教育
97,163.19,64.32,男,37,本科,10,48,销售
98,166.27,61.51,女,48,博士,12,40,教育
99,157.9,45.95,男,32,高中,9,40,教育
100,155.6,58.31,男,76,硕士,14,40,教育
101,168.17,54.83,男,44,硕士,13,60,教育
102,166.79,77.73,女,47,硕士,14,50,教育
103,157.57,56.65,女,20,本科,10,40,服务
104,161.79,79.32,男,29,高中,9,40,服务
105,155.45,52.49,男,32,高中,9,40,服务
106,160.55,59.91,女,17,高中,6,32,服务
107,162.19,62.39,男,30,高中,7,40,服务
108,163.32,71.58,女,31,高中,9,40,教育
109,153.1,73.17,男,42,高中,9,40,服务
110,158.07,48.25,男,24,硕士,13,40,销售
111,156.04,74.1,男,38,硕士,15,40,教育
112,163.97,85.98,男,56,高中,9,50,教育
113,157.45,46.31,女,28,本科,10,25,销售
114,159.53,48.31,女,36,高中,9,40,服务
115,161.03,69.32,男,53,高中,5,50,服务
116,156.07,70.02,男,56,本科,10,50,销售
117,156.33,46.78,男,49,博士,11,40,销售
118,156.54,68.55,男,55,本科,10,56,销售
119,157.36,47.48,男,22,高中,9,41,销售
120,174.93,82.32,女,21,本科,10,40,销售
121,150.23,57.81,男,40,硕士,13,60,教育
122,171.76,67.45,男,30,硕士,13,40,教育
123,159.29,48.32,男,29,硕士,13,50,教育
124,161.12,66.58,男,19,本科,10,35,教育
125,154.8,72.18,女,47,硕士,13,40,教育
126,160.5,70.03,女,20,本科,10,28,教育
127,165.59,54.61,男,31,博士,12,40,教育
128,151.31,53.34,男,35,高中,9,40,教育
129,169.25,86.6,男,39,本科,10,40,教育
130,154.62,71.2,女,28,博士,12,60,销售
131,150.05,47.05,女,24,高中,9,40,销售
132,160.0,49.98,男,38,高中,9,35,销售
133,157.97,52.01,男,37,硕士,13,50,销售
134,162.02,75.04,女,46,博士,12,36,服务
135,167.07,75.25,男,38,硕士,14,40,教育
136,144.33,64.82,男,43,高中,9,60,教育
137,168.49,68.51,女,27,博士,11,35,教育
138,163.01,61.45,男,20,本科,10,20,销售
139,155.87,44.56,男,49,本科,10,40,销售
140,159.38,77.94,男,61,高中,9,40,销售
141,166.98,84.01,女,27,本科,10,40,销售
142,158.54,74.67,男,19,本科,10,30,销售
143,151.49,56.14,女,45,博士,11,40,教育
144,149.27,58.09,男,70,本科,10,40,服务
145,171.38,85.33,女,31,高中,9,30,服务
146,162.48,47.89,男,22,本科,10,24,服务
147,162.06,47.77,女,36,高中,9,24,服务
148,158.7,54.95,男,64,高中,7,40,服务
149,152.65,42.94,女,43,本科,10,40,服务
150,167.66,66.62,女,47,本科,10,38,教育
151,151.28,51.2,女,34,高中,9,40,教育
152,156.35,63.51,女,33,硕士,13,40,教育
153,151.48,55.57,男,21,高中,9,35,教育
154,158.27,47.09,男,52,高中,9,45,教育
155,155.5,64.11,男,48,高中,9,46,教育
156,153.3,54.51,男,23,硕士,13,40,服务
157,154.86,48.68,男,71,本科,10,2,销售
158,160.84,69.77,男,29,高中,9,60,销售
159,166.31,56.0,男,42,硕士,13,50,销售
160,166.79,51.72,女,68,初中及以下,2,20,销售
161,156.34,61.38,女,25,高中,9,40,销售
162,169.02,59.61,女,44,硕士,14,40,教育
163,156.4,68.3,女,28,高中,9,40,教育
164,162.91,64.24,男,45,硕士,14,40,销售
165,156.79,58.72,女,36,本科,10,40,销售
166,158.57,66.01,男,39,博士,12,42,教育
167,147.87,53.69,男,46,硕士,14,40,教育
168,158.96,66.01,男,18,高中,7,16,服务
169,159.88,73.15,女,66,博士,11,20,教育
170,167.24,65.59,男,27,高中,9,40,教育
171,163.07,65.0,男,28,高中,9,40,教育
172,151.86,69.1,男,51,本科,10,40,销售
173,148.97,59.69,男,27,硕士,13,50,销售
174,164.35,68.78,男,28,硕士,13,40,教育
175,156.75,58.93,女,27,高中,9,25,销售
176,151.49,52.49,男,21,高中,9,40,销售
177,166.61,86.47,男,34,高中,9,40,服务
178,150.01,65.61,男,18,高中,9,12,服务
179,148.87,66.86,男,33,硕士,13,65,教育
180,169.28,68.02,男,44,本科,10,38,教育
181,153.49,47.59,女,43,本科,10,40,教育
182,166.11,58.38,男,30,本科,10,45,教育
183,159.09,68.52,男,40,初中及以下,4,40,服务
184,153.48,62.29,男,37,本科,10,42,教育
185,164.39,52.27,男,34,高中,9,40,教育
186,154.38,56.65,女,41,硕士,13,40,教育
187,158.12,79.66,女,53,硕士,13,50,教育
188,161.14,70.63,女,31,硕士,14,50,教育
189,169.12,84.06,男,58,博士,16,1,教育
190,160.5,54.1,女,38,本科,10,28,服务
191,156.07,67.03,男,24,本科,10,40,服务
192,155.66,76.98,男,41,硕士,13,40,服务
193,152.88,60.57,男,47,本科,10,45,服务
194,160.85,71.26,男,41,硕士,13,24,服务
195,152.99,43.91,男,23,初中及以下,3,40,服务
196,161.4,51.67,男,36,本科,10,40,服务
197,145.87,62.7,女,40,硕士,14,55,教育
198,164.32,69.69,男,35,硕士,14,40,教育
199,158.65,77.78,男,24,高中,9,40,销售
200,170.72,80.03,女,26,硕士,14,40,教育
201,162.81,53.13,男,19,高中,9,40,教育
202,164.16,73.93,男,51,硕士,13,50,教育
203,158.29,75.3,女,42,本科,10,40,教育
204,163.49,59.57,女,37,高中,9,35,教育
205,175.3,69.01,女,18,高中,7,40,销售
206,146.62,58.17,男,36,硕士,13,36,销售
207,164.24,82.72,男,35,高中,9,60,销售
208,155.07,49.14,女,58,高中,9,35,销售
209,169.29,63.33,女,17,高中,7,12,销售
210,152.1,70.15,男,44,高中,9,40,服务
211,153.71,70.38,男,37,高中,9,40,服务
212,142.23,41.88,女,35,本科,10,40,销售
213,153.17,58.36,男,60,高中,9,40,销售
214,147.82,41.06,男,54,初中及以下,4,40,服务
215,147.56,51.82,男,37,硕士,13,60,教育
216,147.53,47.84,女,50,博士,12,40,销售
217,163.85,74.89,男,38,硕士,13,50,销售
218,164.87,78.78,男,45,硕士,13,55,教育
219,162.76,57.46,男,25,高中,6,40,教育
220,157.89,72.86,男,31,本科,10,40,服务
221,164.24,55.38,男,64,初中及以下,2,40,服务
222,162.24,70.73,男,90,高中,9,40,服务
223,154.94,61.4,男,54,高中,9,20,教育
224,172.21,73.98,女,53,初中及以下,1,35,服务
225,159.88,55.03,女,18,高中,9,40,销售
226,144.66,39.44,女,60,高中,6,10,销售
227,151.5,60.89,男,66,高中,9,50,销售
228,152.19,72.11,女,75,博士,11,20,教育
229,154.96,60.19,女,65,高中,9,40,教育
230,164.66,65.57,男,35,高中,7,40,服务
231,154.34,67.89,女,41,高中,9,38,销售
232,163.93,48.79,男,25,本科,10,42,教育
233,164.59,75.42,女,33,本科,10,40,教育
234,165.01,72.81,男,28,硕士,15,55,教育
235,159.31,50.28,男,59,高中,9,40,教育
236,163.71,51.09,女,40,本科,10,38,教育
237,162.71,70.1,男,41,硕士,13,50,教育
238,165.61,59.66,男,38,硕士,14,70,教育
239,166.2,58.72,男,23,高中,9,40,服务
240,157.36,49.14,男,40,硕士,13,40,教育
241,158.16,55.51,女,41,高中,9,20,教育
242,159.22,71.39,男,24,博士,12,50,教育
243,158.2,63.69,男,20,本科,10,20,教育
244,150.84,61.2,男,38,本科,10,40,教育
245,151.18,50.73,男,56,高中,9,35,教育
246,163.31,73.83,男,58,高中,9,45,教育
247,158.57,72.43,女,32,高中,9,34,教育
248,158.56,69.52,男,40,博士,12,60,服务
249,162.39,57.95,男,45,高中,9,40,教育
250,157.91,48.93,女,41,硕士,15,40,教育
251,163.19,58.24,女,42,硕士,13,40,教育
252,164.66,80.65,女,59,高中,6,30,教育
253,161.41,71.34,男,19,本科,10,40,教育
254,169.85,60.59,男,58,本科,10,20,服务
255,163.29,62.52,男,42,高中,9,40,服务
256,156.63,57.06,女,20,高中,9,40,服务
257,151.61,61.57,女,32,高中,9,30,服务
258,147.98,59.03,女,45,博士,11,45,教育
259,156.71,64.06,男,50,初中及以下,4,40,教育
260,151.21,51.54,女,36,硕士,13,40,教育
261,140.32,55.1,男,45,高中,9,60,销售
262,157.4,52.59,男,17,高中,7,12,销售
263,157.69,57.86,男,59,本科,10,40,销售
264,159.23,63.55,男,26,高中,7,40,销售
265,164.3,72.26,男,37,本科,10,75,教育
266,147.26,44.77,男,19,本科,10,24,教育
267,153.0,64.84,男,64,高中,9,40,教育
268,163.86,81.76,女,33,硕士,13,45,教育
269,160.42,71.33,女,33,高中,9,40,教育
270,153.22,60.49,男,61,高中,9,40,教育
271,150.23,47.71,男,17,高中,5,24,教育
272,164.22,79.54,男,50,硕士,14,98,教育
273,158.73,56.73,男,27,硕士,14,35,教育
274,152.04,57.43,女,30,高中,9,40,教育
275,169.3,91.71,男,43,高中,9,40,服务
276,147.71,41.8,男,44,本科,10,40,服务
277,156.79,56.31,女,35,本科,10,40,教育
278,158.34,46.89,女,25,本科,10,40,服务
279,152.17,64.06,女,24,本科,10,48,服务
280,154.67,63.83,女,22,硕士,13,15,教育
281,152.45,63.02,男,42,本科,10,40,教育
282,154.68,57.22,女,34,博士,12,45,销售
283,158.96,73.3,女,60,硕士,13,42,教育
284,159.76,57.04,男,21,高中,9,40,服务
285,144.97,45.45,男,57,硕士,14,40,销售
286,164.75,70.03,男,41,硕士,15,60,教育
287,164.63,54.82,男,50,本科,10,45,教育
288,156.09,56.41,女,25,硕士,13,40,教育
289,154.19,63.53,男,50,初中及以下,4,40,教育
290,160.22,75.99,男,36,硕士,13,45,教育
291,163.17,62.35,女,31,高中,9,40,教育
292,153.44,64.89,男,29,硕士,13,56,教育
293,160.61,69.87,男,21,本科,10,45,销售
294,144.83,50.41,女,27,硕士,13,40,服务
295,155.86,69.41,男,65,高中,9,16,服务
296,162.95,59.44,女,37,硕士,13,60,销售
297,152.88,70.2,女,39,硕士,14,40,销售
298,169.15,64.62,男,24,高中,9,40,销售
299,165.15,69.31,男,38,高中,9,80,销售
300,171.6,66.5,男,48,硕士,13,40,教育
301,167.54,56.65,女,21,本科,10,25,教育
302,165.02,84.44,男,31,高中,9,45,服务
303,148.18,50.98,男,55,高中,9,40,销售
304,160.35,57.11,女,24,本科,10,40,教育
305,173.11,86.26,女,43,高中,9,40,教育
306,150.27,56.39,男,26,博士,12,45,服务
307,162.42,77.72,女,46,博士,12,33,教育
308,148.26,50.26,男,35,博士,12,40,教育
309,162.63,78.23,男,41,本科,10,54,教育
310,155.24,71.02,男,26,硕士,13,40,销售
311,159.43,74.0,男,34,硕士,14,35,教育
312,161.86,48.57,女,19,本科,10,25,教育
313,163.71,60.68,女,36,硕士,13,40,教育
314,160.26,71.59,男,22,本科,10,15,销售
315,151.02,72.11,男,24,本科,10,40,服务
316,145.27,64.33,男,77,本科,10,40,销售
317,163.82,58.63,女,22,初中及以下,3,40,服务
318,158.59,58.58,女,29,本科,10,40,服务
319,170.42,91.85,女,62,高中,9,24,服务
320,153.89,52.04,男,39,高中,9,40,教育
321,173.74,70.69,男,43,本科,10,50,教育
322,160.92,75.19,男,35,高中,9,45,服务
323,157.54,68.17,女,29,高中,7,40,教育
324,156.4,56.96,男,76,硕士,14,10,教育
325,165.86,60.25,男,63,高中,9,45,教育
326,170.74,53.23,女,23,博士,11,15,教育
327,168.02,76.81,女,43,本科,10,50,教育
328,161.1,58.43,男,58,高中,9,40,服务
329,151.96,66.82,男,66,高中,9,55,服务
330,166.06,55.29,男,41,本科,10,45,服务
331,150.21,52.98,男,26,硕士,13,40,教育
332,151.83,53.35,男,47,博士,11,40,教育
333,155.72,77.17,男,55,高中,6,40,教育
334,147.84,59.72,男,53,高中,9,40,服务
335,175.23,83.48,男,17,初中及以下,3,48,服务
336,163.21,84.03,男,30,高中,9,40,服务
337,152.62,58.95,男,49,硕士,14,60,教育
338,155.51,46.95,男,19,高中,9,30,销售
339,165.17,83.87,男,45,高中,9,40,销售
340,155.56,75.62,男,26,博士,12,40,销售
341,157.95,73.08,男,38,博士,11,40,销售
342,155.61,66.53,男,36,高中,9,40,销售
343,161.72,55.56,男,33,高中,9,20,销售
344,165.62,71.72,女,22,本科,10,40,销售
345,149.96,41.81,男,43,硕士,13,42,销售
346,154.31,51.85,男,67,高中,7,8,销售
347,148.81,60.33,女,30,博士,11,40,销售
348,153.67,51.27,男,56,博士,12,25,销售
349,170.06,85.38,男,31,硕士,13,25,教育
350,160.93,56.46,男,33,硕士,13,40,教育
351,158.85,46.07,男,26,高中,9,40,教育
352,151.66,49.95,男,33,硕士,13,40,教育
353,161.11,71.43,男,46,高中,7,30,服务
354,162.08,76.64,男,59,硕士,13,40,服务
355,150.79,45.61,男,38,高中,9,40,教育
356,160.03,53.97,男,65,高中,7,40,教育
357,157.42,62.86,男,40,博士,11,40,服务
358,160.17,77.35,女,42,高中,9,35,教育
359,162.75,50.61,男,26,高中,5,40,教育
360,159.85,77.76,女,36,高中,6,24,教育
361,162.17,47.48,男,62,硕士,14,40,教育
362,166.18,63.85,男,43,硕士,13,45,服务
363,163.32,72.31,男,43,硕士,13,45,教育
364,154.74,49.29,男,22,高中,9,55,销售
365,152.64,56.2,男,28,高中,9,40,销售
366,151.64,44.19,男,56,本科,10,45,销售
367,155.44,50.02,女,22,博士,12,15,销售
368,163.89,54.07,女,57,硕士,13,45,教育
369,147.56,39.9,女,39,高中,9,40,销售
370,149.97,47.55,女,26,本科,10,15,教育
371,160.33,62.0,男,17,高中,7,10,教育
372,153.64,65.23,男,40,博士,11,38,服务
373,156.44,56.92,男,45,高中,9,40,服务
374,155.32,54.86,男,44,高中,9,40,服务
375,145.5,47.75,女,20,本科,10,10,教育
376,156.93,47.7,女,33,高中,9,40,教育
377,160.84,67.13,男,23,本科,10,40,销售
378,159.98,57.94,男,46,硕士,14,30,教育
379,164.35,68.88,男,38,高中,9,50,销售
380,171.96,78.08,男,54,高中,9,40,服务
381,152.9,60.59,女,46,初中及以下,3,45,服务
382,156.86,57.06,男,25,本科,10,40,服务
383,149.86,59.23,女,46,本科,10,40,销售
384,156.75,49.93,女,36,本科,10,40,服务
385,154.1,69.05,女,23,高中,9,25,服务
386,158.1,73.04,男,29,高中,9,40,服务
387,163.08,84.35,女,44,本科,10,6,教育
388,164.37,83.74,女,19,本科,10,16,教育
389,160.31,47.15,女,19,高中,9,40,教育
390,151.39,49.35,女,35,高中,9,40,教育
391,146.91,59.28,男,27,硕士,13,50,教育
392,156.46,46.93,男,46,博士,12,40,教育
393,163.56,54.51,男,34,硕士,13,45,教育
394,154.06,44.88,女,34,高中,9,35,教育
395,160.65,78.93,男,44,本科,10,40,服务
396,159.97,71.53,女,45,本科,10,40,服务
397,169.04,82.05,女,20,高中,9,35,服务
398,149.95,43.59,男,25,硕士,13,55,教育
399,159.13,63.26,男,52,硕士,13,50,教育
400,159.17,70.63,男,20,本科,10,40,服务
401,158.72,67.8,女,28,本科,10,40,服务
402,162.25,81.73,男,50,硕士,13,40,服务
403,152.69,60.44,女,34,博士,11,64,服务
404,168.4,70.67,男,28,初中及以下,4,40,服务
405,165.11,71.62,男,41,硕士,14,65,教育
406,160.14,53.36,男,28,高中,9,40,教育
407,151.06,47.04,男,46,高中,9,25,教育
408,151.8,59.19,女,28,本科,10,40,教育
409,164.72,86.41,男,32,本科,10,50,教育
410,172.66,84.67,女,41,本科,10,24,教育
411,156.53,52.48,女,24,高中,9,40,服务
412,151.5,69.7,女,33,本科,10,40,教育
413,166.77,79.61,男,46,博士,16,60,教育
414,171.2,72.12,男,31,本科,10,40,服务
415,161.02,67.48,男,35,高中,8,50,服务
416,157.21,49.17,男,52,初中及以下,2,40,服务
417,176.46,83.05,女,30,高中,7,19,服务
418,157.38,50.05,男,34,高中,7,40,服务
419,174.16,88.1,女,34,高中,9,40,服务
420,141.41,52.48,男,20,本科,10,30,销售
421,157.87,50.74,男,17,高中,7,18,服务
422,150.2,69.34,女,32,硕士,13,40,教育
423,155.04,60.45,男,29,高中,9,40,教育
424,155.13,50.58,女,33,高中,6,35,教育
425,159.6,63.28,男,25,高中,9,60,服务
426,166.34,80.27,男,36,硕士,14,40,教育
427,151.5,65.97,男,23,高中,9,72,服务
428,155.3,69.14,男,63,高中,9,40,教育
429,161.84,67.78,男,47,硕士,14,40,教育
430,157.05,55.81,男,80,高中,9,24,教育
431,158.7,75.81,男,17,高中,7,40,教育
432,164.67,56.66,女,40,硕士,13,40,教育
433,149.84,64.47,女,30,博士,12,25,教育
434,162.53,77.81,男,27,本科,10,40,教育
435,163.76,56.21,男,33,硕士,14,50,教育
436,160.54,67.28,男,34,高中,9,60,教育
437,156.94,45.38,女,34,本科,10,40,教育
438,174.68,86.09,男,23,本科,10,40,教育
439,149.32,42.04,女,42,本科,10,40,教育
440,151.03,54.68,男,29,硕士,13,40,教育
441,161.77,77.12,女,45,高中,9,28,教育
442,161.55,51.22,男,24,高中,9,40,教育
443,148.67,65.91,男,44,本科,10,40,教育
444,162.26,57.19,男,27,高中,5,40,教育
445,158.21,74.13,男,20,本科,10,35,销售
446,156.91,49.9,女,44,高中,9,40,教育
447,153.76,59.41,男,51,高中,9,40,教育
448,162.24,70.6,男,20,高中,9,40,服务
449,156.67,78.02,女,17,高中,7,5,服务
450,165.14,49.71,女,19,高中,9,40,服务
451,158.87,65.65,男,45,本科,10,55,服务
452,151.02,66.34,男,60,高中,9,40,服务
453,159.87,55.07,男,42,博士,12,40,教育
454,160.46,64.01,女,44,高中,9,40,销售
455,157.34,47.22,男,40,博士,11,40,服务
456,156.66,53.92,女,30,高中,9,40,教育
457,150.01,48.78,男,38,本科,10,50,服务
458,153.26,49.39,男,23,高中,9,60,服务
459,166.73,78.58,男,32,本科,10,40,服务
460,155.09,49.87,男,44,博士,12,40,服务
461,150.46,58.82,男,54,高中,9,40,服务
462,156.29,48.38,男,32,硕士,13,50,教育
463,148.07,53.61,男,50,初中及以下,2,40,教育
464,160.11,60.12,女,24,硕士,13,20,服务
465,163.77,69.97,女,37,高中,9,60,教育
466,160.93,59.0,男,52,高中,9,40,服务
467,153.37,43.41,男,38,本科,10,40,服务
468,148.08,62.51,男,49,硕士,14,45,教育
469,166.3,52.08,女,30,硕士,13,16,服务
470,151.45,45.34,男,60,本科,10,40,教育
471,158.85,73.64,男,22,本科,10,40,教育
472,163.96,85.84,男,35,高中,9,40,教育
473,156.04,72.79,男,30,高中,9,60,服务
474,168.06,64.27,女,67,博士,11,24,服务
475,153.33,49.24,女,46,硕士,13,40,服务
476,162.94,72.19,男,17,高中,5,6,服务
477,158.7,57.88,男,22,本科,10,30,服务
478,153.94,52.13,男,27,高中,6,40,服务
479,170.44,69.96,女,23,高中,9,35,服务
480,166.88,85.75,男,33,博士,12,45,服务
481,162.2,64.15,男,43,本科,10,20,服务
482,159.56,71.68,男,28,硕士,13,20,教育
483,169.24,77.02,女,41,高中,9,40,教育
484,157.4,45.68,男,52,高中,8,40,教育
485,162.2,53.45,女,25,本科,10,20,教育
486,159.33,72.55,男,63,初中及以下,2,35,教育
487,153.27,46.0,男,59,高中,9,45,服务
488,154.57,64.2,女,45,硕士,13,40,教育
489,148.57,51.7,男,38,硕士,13,60,销售
490,158.53,60.99,女,40,高中,9,35,销售
491,167.63,88.58,男,46,高中,9,40,教育
492,157.66,77.43,女,35,博士,12,60,教育
493,151.52,64.3,女,34,高中,9,25,教育
494,160.27,49.75,男,33,硕士,13,20,教育
495,156.2,57.93,女,41,高中,9,36,教育
496,153.58,63.43,男,20,本科,10,40,服务
497,155.01,67.13,男,23,初中及以下,3,40,服务
498,152.44,56.3,女,26,本科,10,35,教育
499,162.64,53.92,男,72,高中,9,20,教育
500,157.48,44.69,男,23,高中,9,40,教育
501,158.2,66.72,男,62,高中,9,40,服务
502,153.47,75.12,男,52,本科,10,40,教育
503,166.13,53.43,女,58,本科,10,42,教育
504,169.43,66.85,女,25,硕士,13,40,销售
505,147.25,55.82,男,24,硕士,13,40,教育
506,163.57,63.9,男,19,本科,10,8,教育
507,147.88,54.03,男,43,本科,10,40,教育
508,159.6,80.24,女,47,高中,9,40,教育
509,165.15,60.5,女,39,高中,9,40,教育
510,158.83,58.02,男,49,博士,11,42,服务
511,149.94,54.38,女,53,初中及以下,3,30,服务
512,168.93,54.08,男,32,博士,11,45,服务
513,165.18,86.93,男,34,本科,10,50,教育
514,160.58,55.84,男,28,高中,9,45,教育
515,155.93,46.05,女,57,博士,11,38,教育
516,158.53,64.13,女,25,本科,10,20,教育
517,157.77,58.96,男,20,本科,10,24,教育
518,165.12,85.86,女,21,本科,10,35,教育
519,164.79,64.86,男,34,硕士,13,50,教育
520,165.16,56.75,男,38,硕士,13,80,教育
521,154.06,51.31,男,50,高中,9,50,教育
522,157.79,57.92,男,24,本科,10,50,服务
523,159.71,71.84,男,37,本科,10,45,服务
524,144.1,63.62,男,44,本科,10,58,服务
525,159.51,73.74,女,28,本科,10,40,销售
526,159.37,47.18,男,42,硕士,13,40,教育
527,155.36,51.69,女,74,本科,10,9,教育
528,161.23,77.94,男,38,高中,9,50,教育
529,155.55,51.57,男,44,硕士,14,40,教育
530,155.99,75.73,女,44,高中,7,46,服务
531,148.07,46.55,男,26,高中,9,40,服务
532,148.49,68.63,男,36,高中,9,40,服务
533,161.82,51.43,女,41,博士,12,50,教育
534,162.67,62.33,男,67,硕士,15,48,教育
535,166.37,86.43,男,39,高中,8,50,服务
536,156.08,69.29,女,57,初中及以下,2,30,销售
537,165.09,59.14,男,29,博士,11,40,销售
538,163.95,56.61,女,31,硕士,13,45,销售
539,159.22,51.27,女,34,高中,9,40,销售
540,157.4,46.32,男,44,本科,10,40,服务
541,149.72,45.18,男,29,博士,16,40,教育
542,153.72,65.73,女,30,本科,10,40,服务
543,156.78,72.67,男,27,高中,9,40,服务
544,159.79,67.07,男,27,本科,10,50,销售
545,165.24,79.83,女,32,高中,9,45,服务
546,162.21,58.84,女,58,高中,6,8,服务
547,159.83,81.0,男,35,本科,10,40,服务
548,159.33,81.13,男,21,高中,9,36,服务
549,163.6,83.57,男,28,本科,10,40,服务
550,155.47,72.67,男,46,本科,10,50,教育
551,147.72,53.4,女,36,高中,9,40,教育
552,170.4,62.67,女,72,高中,7,40,教育
553,161.57,76.13,女,35,高中,9,40,服务
554,162.61,80.09,女,33,博士,11,40,服务
555,163.85,84.61,女,69,高中,7,40,服务
556,160.31,54.44,男,35,高中,9,40,服务
557,153.68,71.81,女,31,高中,9,20,教育
558,152.52,58.76,女,34,高中,9,32,服务
559,167.96,65.15,男,30,高中,7,40,服务
560,158.25,77.95,男,28,硕士,13,55,服务
561,161.47,78.88,男,54,硕士,13,35,销售
562,156.16,66.26,男,47,本科,10,50,教育
563,167.59,55.78,女,24,高中,9,40,服务
564,148.18,45.82,男,52,硕士,13,60,教育
565,166.01,59.95,男,20,高中,9,48,服务
566,155.5,71.34,男,43,硕士,14,45,教育
567,171.18,71.26,女,45,初中及以下,4,40,教育
568,160.55,54.84,男,29,高中,9,35,教育
569,171.06,70.75,男,47,硕士,14,42,教育
570,154.61,48.08,男,24,高中,9,40,教育
571,154.51,53.32,男,51,高中,9,40,教育
