,job,place,limit,tags,salary,working time
22,天猫在线/退款客服,成都·武侯区·紫荆,经验不限大专,在线客服 电商客服 售后客服 投诉客服 质检客服,7.0,20.0
23,客服,宿迁·宿豫区·千鸟园,经验不限高中,接听客服 电话客服 在线客服 售前客服 电商客服,7.0,22.0
24,电话客服,佛山·南海区·南海万科广场,经验不限中专/中技,电话客服 人事专员 接听客服 在线客服 招聘主管,18.5,22.0
25,游戏客服,上海·杨浦区·东外滩,1-3年大专,游戏 玩家群 游戏客服 准确识别 技术水平,10.0,18.0
26,在线客服,广州·荔湾区·坦尾,经验不限中专/中技,在线客服 售后客服 电商客服 售前客服 售中客服,8.5,19.0
27,天猫客服,广州·越秀区·五羊新城,1-3年大专,天猫客服 处理退款 网络聊天工具 客户反馈,6.5,12.0
28,电商客服,杭州·江干区·金桥街,1-3年大专,电商客服 售后客服 售前客服 在线客服 天猫客服,7.5,13.0
29,客服专员,北京·朝阳区·四惠东,1年以内大专,微信客服 客服专员 在线客服 电话客服 节日福利,13.0,14.0
30,快递员,成都·锦江区·川师,1年以内高中,配送 快递 驾照 业务操作流程 指导客户,10.0,20.0
31,金牛金泉德邦直招快递员,成都·金牛区·茶店子,经验不限学历不限,月休四天 全勤奖 打包员 货运司机 配货员,9.5,20.0
32,收派员（快递员）,成都·金牛区·沙湾,经验不限高中,五险 餐补 收派员 中专 服务意识,10.5,17.0
33,快递员,成都·成华区·李家沱,经验不限中专/中技,收派员 五险 就近分配 底薪加提成 派件,11.0,20.0
34,快递,成都·温江区·温江大学城,经验不限高中,摩托车驾驶证 C1驾驶证 快递 快件收派 服务意识,10.0,15.0
35,快递产品推广（成都）,成都·武侯区·磨子桥,3-5年本科,货运方案制定 市场数据分析 市场信息收集 战略规划,21.0,16.0
36,快递客服专员,成都·双流区·华阳,经验不限学历不限,物流客服 快递客服 熟练运用office 办公软件,6.5,19.0
37,德邦诚聘快递员（静居寺快递分部）,成都·锦江区·东光,经验不限学历不限,收派员 电三轮 面包车 快递 安全,7.0,17.0
38,包吃包住快递分拣扫描员,成都·双流区·牧马山,经验不限学历不限,分拣员 夜班补助 圆通速递 扫描员 包吃包住,5.5,22.0
39,快递高峰小时工,成都·武侯区·大源,经验不限中专/中技,收派员 八小时工作制 配送员 派件 小时工,4.0,24.0
40,超市快递免费配车,成都·青羊区·光华,经验不限学历不限,高温补贴 收派员 配送管理 物流配送 生鲜果蔬,12.0,14.0
41,快递员（天府五街）,成都·双流区·中和,经验不限中专/中技,配理拣发货 收派员 五险 物流管理 配送管理,9.0,19.0
42,犀浦快递员,成都·郫都区·高新西,经验不限学历不限,月休四天 交通补助 三轮车 面包车 电动车,9.0,20.0
43,快递,成都·武侯区·跳伞塔,经验不限学历不限,配送管理 兼职配送员 快递 招聘 众包,17.0,14.0
44,青白江中通招聘快递员,成都·青白江区·大弯,经验不限学历不限,配送员 三轮车 中通快递 招聘 门店,10.0,21.0
45,快递员,成都·武侯区·跳伞塔,经验不限高中,物流跟单 京东商城 快递 众包 服务态度良好,11.0,18.0
46,顺丰快递派件员,成都·武侯区·红牌楼,经验不限高中,就近分配 收派员 弹性工作制 快递员 兼职,10.0,18.0
47,快递员,成都·龙泉驿区·大面,1年以内学历不限,快递员 配送员 派件 快递加盟 会驾驶,8.0,18.0
48,快递,成都·双流区·华阳,经验不限中专/中技,物流专员 面包车 顺丰速运 电瓶车 文字书写,7.5,20.0
49,快递,成都·成华区·保和,1年以内本科,快递 负责快递 揽收,8.0,15.0
50,快递员,成都·武侯区·玉林,1-3年初中及以下,收派员 就近分配 弹性工作制 配送员 发货员,10.0,17.0
51,快递区域负责人,成都·金牛区·西南交大,1-3年学历不限,配送管理 快递 区域负责人 独立运作 操盘能力,32.5,19.0
52,市场总监（快递）,成都·双流区·新兴,5-10年大专,物流管理 快递市场 加盟商 业务发展规划,22.0,18.0
53,德邦诚聘快递员（金恒德汽配城快递分部）,成都·双流区·蛟龙港,经验不限学历不限,月休四天 就近分配 弹性工作制 驾驶证 公路运输,6.5,10.0
54,快递员,成都·新都区·新都城区,经验不限高中,收派员 物流专员 弹性工作制 底薪加提成 小时工,9.0,21.0
55,京东直招快递员+揽收员正式工,成都·锦江区·春熙路,经验不限中专/中技,防寒防暑补贴 揽收 就近分配 开发及维护,11.5,15.0
56,德邦诚聘快递员（桂王桥西街快递分部）,成都·锦江区·天府广场,经验不限学历不限,收派员 电三轮 面包车 快递 安全,7.0,12.0
57,快递加盟承包商,成都·金牛区·五块石,经验不限学历不限,快递 配送 申通快递 快递加盟 承包商,40.0,19.0
58,超市快递免费配车提供宿舍,成都·成华区·水碾河,经验不限学历不限,快递员 收派员 配送管理 物流配送 就近分配,11.5,15.0
59,运作员（快递分拣员）,成都·双流区·四川现代职业学院,经验不限学历不限,冬送温暖 面试方式 快递分拣员 运作员 分拣,5.5,21.0
60,一对一家教有时间就可以,成都·成华区·万年场,1年以内本科,家教 一对一授课 兼职 一对一家教 覆盖全国,5.5,19.0
61,大学生兼职线上一对一家教网课,成都·成华区·财富又一城,经验不限学历不限,家教 一对一授课 地理 理科 化学,7.0,16.0
62,家教,成都·武侯区·石羊场,1-3年大专,家教 小学教育 全职兼职均可 学前教育 兼职,15.5,17.0
63,包吃包住3000起服务员 吧员 收银 迎宾急招,成都·锦江区·春熙路,经验不限学历不限,包吃包住 迎宾 西餐厅服务员 传菜员,5.5,18.0
64,在线一对一兼职辅导老师家教,成都·武侯区·磨子桥,经验不限本科,家教 兼职 教师 一对一授课 线下授课,14.5,19.0
65,家教,成都·武侯区·铁像寺,1-3年大专,家教 小学教育 小学三年级 辅导,6.5,18.0
66,(成都全区）高薪小学英语全科兼职家教,成都·龙泉驿区·十陵,经验不限大专,家教 小学教育 文科 语文 初中教育,9.0,13.0
67,成都家教兼职,成都·郫都区·犀浦,经验不限本科,家教 1对1 教师 小学教育 初中教育,4.0,23.0
68,家教辅导老师,成都·金牛区·沙湾,1-3年本科,家教 小学教育 初中教育 教师 高中教育,6.0,18.0
69,住家家教,成都,经验不限本科,家教 小学教育 教师 辅导孩子学习 学习辅导,9.5,16.0
70,香料法-外厅服务员（传菜+收银+吧员+迎宾）,成都·武侯区·跳伞塔,经验不限大专,全职 兼职 包吃包住 全职兼职均可 餐饮,4.5,22.0
71,吧员（客休区服务员）,成都·新都区·三河,经验不限学历不限,客房服务员 酒店 商业保险 生日福利 过节福利,5.0,19.0
72,肯德基服务员,成都·成华区·二仙桥,经验不限学历不限,带薪年假 兼职 八小时工作制 全职兼职均可,5.0,23.0
73,建设路兼职服务员,成都·成华区·建设路,经验不限学历不限,带薪年假 弹性工作制 餐饮保洁 洗碗工,2.0,19.0
74,兼职服务员,成都,经验不限学历不限,就近分配 免费培训 免费工装 兼职 兼职服务员,3.5,14.0
75,服务员,成都·武侯区·桂溪,经验不限初中及以下,迎宾 西餐厅服务员 传菜 餐厅 泰国菜,6.5,21.0
76,兼职服务员,成都·武侯区·石羊场,在校/应届学历不限,迎宾 前台收银 点餐 兼职服务员 线下沟通,2.0,15.0
77,服务员兼职,成都·龙泉驿区·龙泉,经验不限学历不限,有无线网 带薪年假 全勤奖 晋升空间大 免费培训,3.5,18.0
78,服务员收银员,成都·金牛区·人民北路,经验不限学历不限,包吃包住 包吃 酸菜鱼 顾客服务 前厅服务员,7.0,8.0
79,兼职服务员,成都·成华区·李家沱,经验不限学历不限,有无线网 兼职 弹性工作制 免费工装 晋升空间大,3.5,21.0
80,兼职服务员,成都·武侯区·新会展中心,经验不限学历不限,餐饮 兼职 保洁 收银 包吃,5.0,21.0
81,服务员兼职,成都·双流区·海滨城,经验不限学历不限,兼职 餐饮 弹性工作制 免费餐饮 麦当劳,3.5,20.0
82,服务员收银员,成都·双流区·城南优品道广场,经验不限学历不限,月休四天 餐补 免费培训 晋升空间大 餐厅,5.0,8.0
83,服务员,成都·成华区·成都东站,经验不限学历不限,检票口 汉堡王 全职 候车大厅 薪资福利,5.5,17.0
84,服务员兼职,成都·金牛区·沙河源,经验不限学历不限,兼职 包吃包住 兼职服务员 传菜员 保洁,3.5,17.0
85,兼职服务员,成都·武侯区·红牌楼,经验不限中专/中技,兼职服务员 区域卫生 顾客意见 服务流程,5.0,16.0
86,鲜芋仙甜品/奶茶/茶饮/服务员,成都·锦江区·合江亭,1年以内中专/中技,带薪年假 餐补 房补 五险 交通补助,6.0,19.0
87,兼职服务员10名12-15元/小时,成都·金牛区·茶店子,经验不限学历不限,钟点工 洗碗工 后厨杂工 包吃 兼职,10-20元/时,10.0
88,茶楼服务员工资3000以上,成都,经验不限学历不限,包吃包住 加班费 底薪加提成 不加班 免费工装,5.0,27.0
89,家教老师,成都·双流区·中和,经验不限大专,初中教育 全职兼职均可 教师 线下授课 教育培训,4.0,22.0
